                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97745,                 2.5875,                 1.1949,                 0.9658,                 0.0721,                0.08805,                0.06677,                0.95072,                 1.7631,                 1.1219,             0.00029655,             0.00029655,             0.00029655
                      2,                0.86784,                 1.3128,                 1.1917,                0.63518,                0.26016,                 0.2667,                0.19332,                0.95105,                 1.6298,                 1.1227,             0.00058768,             0.00058768,             0.00058768
                      3,                0.81507,                 1.0318,                 1.1502,                 0.6051,                0.27772,                0.27401,                0.18945,                0.94502,                 1.3781,                 1.1179,             0.00086681,             0.00086681,             0.00086681
                      4,                0.80228,                0.95407,                 1.1259,                0.66706,                0.28756,                0.31948,                0.23424,                0.96964,                 1.2516,                  1.115,             0.00085501,             0.00085501,             0.00085501
                      5,                0.78059,                0.89998,                 1.1097,                 0.6308,                0.33561,                0.35418,                0.26733,                0.84833,                0.93235,                 1.0394,             0.00085501,             0.00085501,             0.00085501
                      6,                0.77032,                0.86315,                 1.1004,                0.66577,                0.36029,                0.37549,                0.28457,                0.80847,                0.87864,                 1.0115,             0.00083701,             0.00083701,             0.00083701
                      7,                0.75138,                0.83241,                 1.0911,                0.73157,                0.34666,                0.40142,                  0.308,                0.81496,                0.90168,                 1.0164,             0.00081901,             0.00081901,             0.00081901
                      8,                0.74428,                0.80852,                 1.0834,                0.70849,                0.36482,                0.43208,                0.33961,                0.76273,                 0.8193,                0.98944,             0.00080101,             0.00080101,             0.00080101
                      9,                0.73974,                0.79195,                   1.08,                0.61508,                0.42565,                0.45924,                0.35179,                0.85021,                0.85923,                 1.0443,             0.00078301,             0.00078301,             0.00078301
                     10,                0.73201,                0.78211,                  1.077,                0.72299,                0.38563,                0.42228,                0.32871,                0.75414,                0.84516,                0.99675,             0.00076501,             0.00076501,             0.00076501
                     11,                0.72338,                0.76447,                 1.0704,                0.73233,                0.34743,                0.40923,                0.31719,                0.75292,                0.79162,                0.98231,             0.00074702,             0.00074702,             0.00074702
                     12,                0.71986,                0.75587,                  1.069,                0.77726,                 0.3885,                0.47449,                0.37447,                0.73168,                0.72714,                0.98136,             0.00072902,             0.00072902,             0.00072902
                     13,                0.70855,                0.73734,                 1.0646,                0.77207,                0.40242,                0.47053,                 0.3724,                 0.7351,                0.72203,                0.97691,             0.00071102,             0.00071102,             0.00071102
                     14,                0.70719,                0.73277,                  1.064,                0.70547,                 0.4525,                0.50356,                 0.4007,                0.72912,                0.71577,                0.98168,             0.00069302,             0.00069302,             0.00069302
                     15,                0.70572,                0.71938,                 1.0603,                0.56806,                0.48921,                0.48367,                0.38582,                 0.7215,                0.74798,                0.96867,             0.00067502,             0.00067502,             0.00067502
                     16,                0.70263,                0.71564,                 1.0583,                0.54168,                0.45674,                0.49111,                0.39234,                0.72961,                0.70403,                0.97581,             0.00065703,             0.00065703,             0.00065703
                     17,                0.69312,                0.71248,                 1.0553,                 0.7006,                0.38822,                0.49352,                 0.3858,                0.76405,                0.74882,                0.98918,             0.00063903,             0.00063903,             0.00063903
                     18,                0.69253,                0.70369,                 1.0535,                0.56606,                0.51808,                0.52139,                0.40177,                0.71516,                0.70592,                 0.9706,             0.00062103,             0.00062103,             0.00062103
                     19,                0.69304,                 0.6985,                 1.0533,                0.64011,                0.41643,                0.47318,                0.38181,                0.72117,                0.74752,                0.96193,             0.00060303,             0.00060303,             0.00060303
                     20,                0.68814,                0.68969,                 1.0483,                0.50636,                0.49937,                0.49106,                0.39038,                0.72045,                0.70792,                0.96884,             0.00058503,             0.00058503,             0.00058503
                     21,                0.68348,                0.68151,                 1.0476,                 0.7325,                0.40271,                0.49976,                0.39602,                 0.6958,                 0.7076,                0.95568,             0.00056703,             0.00056703,             0.00056703
                     22,                0.67745,                0.67684,                 1.0461,                0.57436,                0.49362,                0.52954,                0.42251,                0.71212,                0.68974,                0.96316,             0.00054904,             0.00054904,             0.00054904
