                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5115,                 4.3782,                 4.1732,                0.00458,                0.38573,                0.02236,                0.00569,                 3.2524,                    inf,                 4.1285,             0.00029088,             0.00029088,             0.00029088
                      2,                  3.059,                  3.435,                 3.6131,                0.00614,                0.36799,                0.02691,                0.00779,                 3.2902,                    inf,                 4.2199,             0.00058249,             0.00058249,             0.00058249
                      3,                 2.3071,                 2.7808,                 2.8042,                0.02357,                0.28397,                0.02697,                0.01034,                 3.2748,                    inf,                 4.3005,             0.00086562,             0.00086562,             0.00086562
                      4,                 1.9175,                 2.4606,                 2.3633,                0.79669,                0.04019,                0.05637,                0.02667,                 2.1134,                 2.8881,                 2.5307,             0.00087043,             0.00087043,             0.00087043
                      5,                 1.7343,                 2.2862,                 2.1637,                0.14022,                0.13799,                0.10155,                0.05811,                  1.682,                 2.2278,                 2.1117,             0.00087043,             0.00087043,             0.00087043
                      6,                 1.6087,                 2.1592,                 2.0226,                0.29934,                0.16633,                 0.1198,                0.07069,                 1.6379,                 1.9945,                 1.9493,             0.00085758,             0.00085758,             0.00085758
                      7,                 1.5132,                 2.0514,                 1.9218,                 0.2063,                0.21262,                0.13675,                0.08763,                 1.4535,                 1.8427,                 1.7851,             0.00084472,             0.00084472,             0.00084472
                      8,                 1.4417,                 1.9571,                 1.8428,                0.19851,                0.22657,                0.14706,                 0.0945,                   1.43,                 1.7637,                 1.7907,             0.00083186,             0.00083186,             0.00083186
                      9,                  1.393,                  1.902,                 1.7823,                 0.2242,                0.28378,                0.16525,                0.10616,                 1.3923,                 1.6579,                 1.6787,             0.00081901,             0.00081901,             0.00081901
                     10,                 1.3426,                 1.8319,                 1.7261,                0.24095,                0.29985,                0.17891,                0.11646,                 1.3499,                 1.6046,                 1.6573,             0.00080615,             0.00080615,             0.00080615
                     11,                 1.3244,                 1.8069,                 1.7004,                0.24196,                0.31266,                0.20473,                 0.1349,                 1.2973,                 1.5391,                 1.5907,              0.0007933,              0.0007933,              0.0007933
                     12,                 1.2903,                 1.7548,                 1.6635,                0.24243,                0.32219,                0.19209,                0.12437,                 1.3037,                 1.5153,                 1.5993,             0.00078044,             0.00078044,             0.00078044
                     13,                 1.2594,                 1.7317,                  1.636,                0.27049,                0.35988,                 0.2185,                0.14574,                 1.2408,                 1.4537,                 1.5365,             0.00076759,             0.00076759,             0.00076759
                     14,                 1.2346,                 1.6971,                 1.6117,                0.29438,                0.36823,                0.25634,                0.17218,                 1.2552,                 1.4061,                 1.5339,             0.00075473,             0.00075473,             0.00075473
                     15,                 1.2162,                 1.6645,                 1.5882,                0.30811,                0.34611,                0.26566,                0.18007,                 1.2242,                 1.4081,                 1.5135,             0.00074187,             0.00074187,             0.00074187
                     16,                 1.1996,                 1.6405,                 1.5719,                 0.3038,                0.38309,                0.26539,                0.17738,                 1.2005,                 1.3743,                 1.4775,             0.00072902,             0.00072902,             0.00072902
                     17,                  1.176,                 1.6158,                 1.5535,                0.34532,                 0.3976,                0.29319,                0.20469,                 1.1835,                 1.3185,                 1.4493,             0.00071616,             0.00071616,             0.00071616
                     18,                 1.1636,                 1.5928,                 1.5395,                0.38319,                0.36823,                0.31471,                0.20848,                 1.1948,                 1.3513,                 1.4666,             0.00070331,             0.00070331,             0.00070331
